tx_hash,tx_fee,tx_burnt_fee,tx_index,tx_nonce,timestamp,block_number,eth_price_usd,blob_gas_price,gas_price,gas_used,priority_fee,base_fee_per_gas,max_priority_fee_per_gas,max_fee_per_blob_gas,from_address,to_address,total_supply,token_ticker,token_amount
0x514bc446ef7b6b9f72126dc98844620669e53be813abeace7f2d38a3274abcc0,628895770123000,607623770123000,185,15,2024-03-29T00:09:11.000000Z,19535997,3025.9,10614402037,29564487125,21272,21272000000000,28564487125,1000000000,69611093430,0x90CbbE6058212D0Db0D6afE7a0fd43c1AB34C595,0x90CbbE6058212D0Db0D6afE7a0fd43c1AB34C595,2800,wgw,100
0x178517550bbaeb9d6658f143633f6ae28ebe8e0c9917ffb896e5470a30f5d095,515896304302136,494624304302136,130,207,2024-03-29T19:14:23.000000Z,19541664,3028.66,6371395689,24252364813,21272,21272000000000,23252364813,1000000000,68018056966,0x17Cacc6c249A3b05FE817b79A25a33ebdB47D0bF,0xF9C8c18106aE4Cc63Cc1FCf1ddB373E66159F747,2900,wgw,100
0xc9f561d2f649789ac9d01254efff44b10d9f6a3ad02f64c0fa14670973a04958,515896304302136,494624304302136,129,206,2024-03-29T19:14:23.000000Z,19541664,3028.66,6371395689,24252364813,21272,21272000000000,23252364813,1000000000,68018056966,0x17Cacc6c249A3b05FE817b79A25a33ebdB47D0bF,0xF9C8c18106aE4Cc63Cc1FCf1ddB373E66159F747,3000,wgw,100
0x05c7e05cac70ea6a4f70cfde37852dc7ff76d7456cf16982621e5045837baf25,610961461089824,589689461089824,48,217,2024-03-29T19:17:35.000000Z,19541680,3028.66,10614402037,28721392492,21272,21272000000000,27721392492,1000000000,68018056966,0x17Cacc6c249A3b05FE817b79A25a33ebdB47D0bF,0xF9C8c18106aE4Cc63Cc1FCf1ddB373E66159F747,3100,wgw,100
0x6dc86d87baae0e5c54b41621cd8125e304a9ee5cc69d304342c56784007f8815,588005327856088,566733327856088,40,216,2024-03-29T19:17:23.000000Z,19541679,3028.66,10205744469,27642221129,21272,21272000000000,26642221129,1000000000,68018056966,0x17Cacc6c249A3b05FE817b79A25a33ebdB47D0bF,0xF9C8c18106aE4Cc63Cc1FCf1ddB373E66159F747,3200,wgw,100
0x20b5de473f8b31a3644a6f69d3e94c49ce1d106467e7d2addbf42ab7448f4670,705040281801920,683768281801920,174,46,2024-03-29T19:22:47.000000Z,19541704,3028.66,8386687805,33144052360,21272,21272000000000,32144052360,1000000000,79543338272,0x459aD652D6C5F86E0dE669ce5Ee2b3bffC787df4,0x34f76ecEfB73315F48703F03963ee28140888888,3300,wgw,100
0x591e4861af3ce2dfb854de84e3e4ed878a818f59f793b8d129d8bf852fe4d7f1,739173933212672,717901933212672,62,9,2024-03-29T20:10:23.000000Z,19541939,3023.68,9071772741,34748680576,21272,21272000000000,33748680576,1000000000,68511220404,0x2aA785db3BA8032f0DB8268E911ea3fe48a5c396,0x2aA785db3BA8032f0DB8268E911ea3fe48a5c396,3400,wgw,100
0x15f4bc204ab983fcea18f00fe6b195cbf1bc2fcd6f49fe0f782fbef1288d7dc9,663379511323552,642107511323552,76,12,2024-03-29T20:13:47.000000Z,19541956,3023.68,11039423038,31185573116,21272,21272000000000,30185573116,1000000000,68511220404,0x2aA785db3BA8032f0DB8268E911ea3fe48a5c396,0x2aA785db3BA8032f0DB8268E911ea3fe48a5c396,3500,wgw,100
0x5e24031da6dd2670ddec50346c04381922bd73a0018ada1d78f0352a80b7d41b,585365011734392,564093011734392,71,0,2024-03-29T20:53:47.000000Z,19542155,3023.68,28324783677,27518099461,21272,21272000000000,26518099461,1000000000,64483001212,0x6383542136a406Cd86E708efA0f008BC4cf8336e,0xb1c2a6deA0b7cB6d2f3c3D4DEB186e0064152d67,3600,wgw,100
0xc3a54d1490064ced0bae60d43d7bdf64a3efcf7deffbbe3c4233453db80b135f,574524415745184,553252415745184,70,1,2024-03-29T21:02:11.000000Z,19542196,3023.68,27234271276,27008481372,21272,21272000000000,26008481372,1000000000,64483001212,0x6383542136a406Cd86E708efA0f008BC4cf8336e,0xb1c2a6deA0b7cB6d2f3c3D4DEB186e0064152d67,3700,wgw,100
